| event_type | description | substitute |
|---|---|---|
| textlink | id=u06a_default_txt3 | u06a-default_txt3 |
| textlink | id=u06a_default_txt15 | u06a-default_txt15 |
| textlink | id=u06a_default_txt12 | u06a-default_txt12 |
| textlink | id=u06a_default_txt9 | u06a-default_txt9 |
| textlink | id=u06a_default_txt6 | u06a-default_txt6 |
| button | id=ok | ok |
| button | id=next | next |
| button | id=cancel | cancel |
| button | id=u06a_popup1_txt4 | u06a-popup1_txt4 |
| toolbar | id=toolbar_go_btn | toolbar_go-btn |
| toolbar | id=toolbar_find_btn | toolbar_find-btn |
| toolbar | id=splithorizontal | splithorizontal |
| toolbar | id=toolbar_forward_btn | toolbar_forward-btn |
| toolbar | id=webapp | webapp |
| toolbar | id=toolbar_help_btn | toolbar_help-btn |
| toolbar | id=toolbar_back_btn | toolbar_back-btn |
| toolbar | id=splitvertical | splitvertical |
| toolbar | id=toolbar_bkm_btn | toolbar_bkm-btn |
| toolbar | id=toolbar_home_btn | toolbar_home-btn |
| textbox_onfocus | id=endtask_txt2 | endtask_txt2 |
| textbox_onfocus | id=u06a_default_txt2 | u06a-default_txt2 |
| textbox_killfocus | id=endtask_txt2 | endtask_txt2 |
| textbox_killfocus | id=u06a_default_txt2 | u06a-default_txt2 |
| menu | id=file-menu | file-menu |
| menu | id=wb-bookmarks-menu | wb_bookmarks-menu |
| menu | id=wb-help-menu | wb_help-menu |
| menu | id=wb-edit-menu | wb_edit-menu |
