| event_type | description | substitute | fixed |
|---|---|---|---|
| combobox | id=u021_default_menu1\|index=3 | u021-default_menu1_index3 | u021-default-menu1_index3 |
| combobox | id=u021_pg4_menu2\|index=3 | u021-pg4_menu2_index3 | u021-pg4-menu2_index3 |
| combobox | id=u021_pg2_menu4\|index=4 | u021-pg2_menu4_index4 | u021-pg2-menu4_index4 |
| combobox | id=u021_pg2_menu3\|index=9 | u021-pg2_menu3_index9 | u021-pg2-menu3_index9 |
| combobox | id=u021_pg4_menu1\|index=2 | u021-pg4_menu1_index2 | u021-pg4-menu1_index2 |
| combobox | id=u021_default_menu1\|index=2 | u021-default_menu1_index2 | u021-default-menu1_index2 |
| combobox | id=u021_pg2_menu6\|index=19 | u021-pg2_menu6_index19 | u021-pg2-menu6_index19 |
| combobox | id=u021_default_menu1\|index=9 | u021-default_menu1_index9 | u021-default-menu1_index9 |
| combobox | id=u021_pg4_menu2\|index=6 | u021-pg4_menu2_index6 | u021-pg4-menu2_index6 |
| combobox | id=u021_pg2_menu5\|index=6 | u021-pg2_menu5_index6 | u021-pg2-menu5_index6 |
| combobox | id=u021_pg2_menu3\|index=4 | u021-pg2_menu3_index4 | u021-pg2-menu3_index4 |
| combobox | id=u021_pg2_menu3\|index=10 | u021-pg2_menu3_index10 | u021-pg2-menu3_index10 |
| combobox | id=u021_default_menu2\|index=1 | u021-default_menu2_index1 | u021-default-menu2_index1 |
| combobox | id=u021_pg2_menu5\|index=4 | u021-pg2_menu5_index4 | u021-pg2-menu5_index4 |
| combobox | id=u021_pg2_menu2\|index=9 | u021-pg2_menu2_index9 | u021-pg2-menu2_index9 |
| combobox | id=u021_default_menu2\|index=4 | u021-default_menu2_index4 | u021-default-menu2_index4 |
| combobox | id=u021_pg2_menu1\|index=8 | u021-pg2_menu1_index8 | u021-pg2-menu1_index8 |
| combobox | id=u021_pg4_menu1\|index=7 | u021-pg4_menu1_index7 | u021-pg4-menu1_index7 |
| combobox | id=u021_pg2_menu6\|index=11 | u021-pg2_menu6_index11 | u021-pg2-menu6_index11 |
