| event_type | description | substitute | fixed |
|---|---|---|---|
| toolbar | id=ss-sort | ss_sort | ss_sort |
| toolbar | id=ss-help | ss_help | ss_help |
| toolbar | id=ss-save | ss_save | ss_save |
| toolbar | id=ss-copy | ss_copy | ss_copy |
| toolbar | id=ss-paste | ss_paste | ss_paste |
| toolbar | id=ss-find | ss_find | ss_find |
| toolbar | id=ss-cut | ss_cut | ss_cut |
| textbox_onfocus | id=hlpss_txt2 | hlpss_txt2 | hlpss-txt2 |
| textbox_onfocus | id=hlpss_txt7 | hlpss_txt7 | hlpss-txt7 |
| textbox_onfocus | id=endtask_txt2 | endtask_txt2 | endtask-txt2 |
| textbox_onfocus | id=hlpss_txt4 | hlpss_txt4 | hlpss-txt4 |
| textbox_onfocus | id=hlpmc_txt5 | hlpmc_txt5 | hlpmc-txt5 |
| textbox_onfocus | id=hlpmc_txt3 | hlpmc_txt3 | hlpmc-txt3 |
| textbox_onfocus | id=hlpss_txt3 | hlpss_txt3 | hlpss-txt3 |
| textbox_onfocus | id=hlpmc_txt9 | hlpmc_txt9 | hlpmc-txt9 |
| textbox_killfocus | id=hlpss_txt2 | hlpss_txt2 | hlpss-txt2 |
| textbox_killfocus | id=hlpss_txt7 | hlpss_txt7 | hlpss-txt7 |
| textbox_killfocus | id=endtask_txt2 | endtask_txt2 | endtask-txt2 |
| textbox_killfocus | id=hlpss_txt4 | hlpss_txt4 | hlpss-txt4 |
| textbox_killfocus | id=hlpmc_txt5 | hlpmc_txt5 | hlpmc-txt5 |
| textbox_killfocus | id=hlpmc_txt3 | hlpmc_txt3 | hlpmc-txt3 |
| textbox_killfocus | id=hlpss_txt3 | hlpss_txt3 | hlpss-txt3 |
| textbox_killfocus | id=hlpmc_txt9 | hlpmc_txt9 | hlpmc-txt9 |
