| event_type | description | substitute |
|---|---|---|
| menu | id=message-menu | message-menu |
| menu | id=help-menu | help-menu |
| menu | id=view-menu | view-menu |
| menu | id=file-menu | file-menu |
| menu | id=edit-menu | edit-menu |
| textbox_onfocus | id=hlpmc_txt5 | hlpmc_txt5 |
| textbox_onfocus | id=hlpmc_txt10 | hlpmc_txt10 |
| textbox_onfocus | id=hlpmc_txt11 | hlpmc_txt11 |
| textbox_onfocus | id=hlpmc_txt7 | hlpmc_txt7 |
| textbox_onfocus | id=hlpmc_txt2 | hlpmc_txt2 |
| textbox_onfocus | id=email_message | email_message |
| textbox_onfocus | id=endunit_txt2 | endunit_txt2 |
| textbox_onfocus | id=reply_subject | reply_subject |
| textbox_onfocus | id=hlpmc_txt4 | hlpmc_txt4 |
| textbox_onfocus | id=hlpmc_txt3 | hlpmc_txt3 |
| textbox_onfocus | id=hlpmc_txt15 | hlpmc_txt15 |
| textbox_onfocus | id=reply_to | reply_to |
| textbox_onfocus | id=createfoldernameinput | create-folder_nameinput |
| textbox_onfocus | id=reply_cc | reply_cc |
| textbox_onfocus | id=searchtfieldmc | searchtfieldmc |
| textbox_killfocus | id=hlpmc_txt5 | hlpmc_txt5 |
| textbox_killfocus | id=hlpmc_txt10 | hlpmc_txt10 |
| textbox_killfocus | id=hlpmc_txt11 | hlpmc_txt11 |
| textbox_killfocus | id=hlpmc_txt7 | hlpmc_txt7 |
| textbox_killfocus | id=hlpmc_txt2 | hlpmc_txt2 |
| textbox_killfocus | id=email_message | email_message |
| textbox_killfocus | id=endunit_txt2 | endunit_txt2 |
| textbox_killfocus | id=reply_subject | reply_subject |
| textbox_killfocus | id=hlpmc_txt4 | hlpmc_txt4 |
| textbox_killfocus | id=hlpmc_txt3 | hlpmc_txt3 |
| textbox_killfocus | id=hlpmc_txt15 | hlpmc_txt15 |
| textbox_killfocus | id=reply_to | reply_to |
| textbox_killfocus | id=createfoldernameinput | create-folder_nameinput |
| textbox_killfocus | id=reply_cc | reply_cc |
| textbox_killfocus | id=searchtfieldmc | searchtfieldmc |
| toolbar | id=replyall | replyall |
| toolbar | id=send | send |
| toolbar | id=forward | forward |
| toolbar | id=replymail | replymail |
| toolbar | id=find | find |
| toolbar | id=splithorizontal | splithorizontal |
| toolbar | id=newmail | newmail |
| toolbar | id=splitvertical | splitvertical |
| toolbar | id=mailapp | mailapp |
| toolbar | id=help | help |
| toolbar | id=trash | trash |
| toolbar | id=move | move |
| button | id=addcancel | add_cancel |
| button | id=next | next |
| button | id=sortcancel | sort_cancel |
| button | id=movevalidation | move_validation |
| button | id=removecancel | remove_cancel |
| button | id=cancel | cancel |
| button | id=ok | ok |
| button | id=addvalidation | add_validation |
| button | id=movecancel | move_cancel |
| button | id=spread-searchmc-btn | spread-searchmc-btn |
| button | id=sortvalidation | sort_validation |
| button | id=u00_popup_txt2 | u00-popup_txt2 |
