| event_type | description | substitute | fixed |
|---|---|---|---|
| button | id=addcancel | add_cancel | addcancel |
| button | id=sortcancel | sort_cancel | sortcancel |
| button | id=movevalidation | move_validation | movevalidation |
| button | id=removecancel | remove_cancel | removecancel |
| button | id=addvalidation | add_validation | addvalidation |
| button | id=movecancel | move_cancel | movecancel |
| button | id=copyvalidation | copy_validation | copyvalidation |
| button | id=sortvalidation | sort_validation | sortvalidation |
| button | id=removevalidation | remove_validation | removevalidation |
| textbox_onfocus | id=createfoldernameinput | create-folder_nameinput | createfolder_nameinput |
| textbox_onfocus | id=create_folder_name | create_folder_name | create-folder_name |
| textbox_killfocus | id=createfoldernameinput | create-folder_nameinput | createfolder_nameinput |
| textbox_killfocus | id=create_folder_name | create_folder_name | create-folder_name |
